sothutu,name,brand,pricenew,sale,priceold,volume
0,Nước Hoa Nữ Diamond Femme (Trắng),Eau De Parfum,301000,45%,549000,45ml
1,Nước Hoa Vùng Kín Foellie Hương Hoa Hồng Mạnh Mẽ,Inner Perfume #Eau De Bijou,144000,59%,350000,5ml
2,Nước Hoa Nữ Diamond Femme Pink (Hồng),Eau De Parfum,275000,50%,549000,45ml
3,Nước Hoa Nam Diamond Homme (Đen),Eau De Parfum,275000,50%,549000,45ml
4,Nước Hoa Nữ Diamond Femme Ruby Red (Đỏ),Eau De Parfum,301000,45%,549000,45ml
5,Nước Hoa Nữ Gennie Little Gold Dress,Little Gold Dress,146000,33%,219000,50ml
6,Nước Hoa Vùng Kín Foellie Hương Trái Cây Ngọt Ngào,Inner Perfume #Eau De Fleur,179000,49%,350000,5ml
7,Nước Hoa Nữ Gennie Little Black Dress,Little Black Dress,146000,33%,219000,50ml
8,Xịt Thơm Toàn Thân Malissa Kiss Hương Crazy in Love,Perfume Body Mist,134000,21%,169000,88ml
10,Nước Hoa Nữ De Memoria EDP #05 Montpellier,Eau De Parfum,354000,36%,550000,30ml
11,Nước Hoa Nữ De Memoria #02 Val De Loire Hương Tươi Mát,Eau De Parfum,354000,36%,550000,30ml
12,Xịt Thơm Toàn Thân Bodymiss Hương Stop & Stare,,54000,32%,79000,35ml
13,Nước Hoa Nữ Gennie Little Red Dress,Little Red Dress,110000,50%,219000,50ml
14,Nước Hoa Nam Gota Iconic Eau de Parfum,Iconic Perfume For Men Eau de Parfum,148000,50%,296000,50ml
16,Nước Hoa Nữ De Memoria EDP #04 Dresden,Eau De Parfum,354000,36%,550000,30ml
17,Nước Hoa Vùng Kín Foellie Hương Hoa Hồng Trắng,Inner Perfume #Eau De Ciel,179000,49%,350000,5ml
18,Nước Hoa Nam Diamond Homme Dark Blue (Xanh),Eau De Parfum,301000,45%,549000,45ml
19,Nước Hoa Nữ Gennie Little Rose Dress Bản Giới Hạn,Little Rose Dress For Her,175000,50%,349000,50ml
20,Nước Hoa Vùng Kín Foellie Hoa Đinh Hương Bản Giới Hạn,Inner Perfume #Eau De Tuileries,189000,46%,350000,5ml
21,Nước Hoa Nữ Versace Bright Crystal Absolu EDP,Bright Crystal Absolu Eau de Parfum Natural Spray,1789000,39%,2915000,90ml
22,Nước Hoa Nam Diamond Homme Brown (Nâu),Eau De Parfum,301000,40%,499000,45ml
23,Nước Hoa Nữ Carolina Herrera Good Girl EDP,Good Girl Eau De Parfum Natural Spray,1809000,10%,2010000,30ml
24,Xịt Thơm Toàn Thân Malissa Kiss Hương Sweet Poison,Perfume Mist,134000,21%,169000,88ml
25,Xịt Thơm Toàn Thân Malissa Kiss Hương Adore You,Perfume Mist,134000,21%,169000,88ml
26,Nước Hoa Nam Versace Pour Homme EDT,Pour Homme Eau De Toilette Spray,1443000,19%,1782000,50ml
27,Nước Hoa Nữ Laura Anne Allure For Her (Hồng),Eau de Parfum,184000,38%,299000,50ml
28,Nước Hoa Nữ Lancôme La Nuit Tresor EDP,La Nuit Tresor Eau De Parfum,2820000,9%,3100000,75ml
29,Nước Hoa Nam Paco Rabanne 1 Million Parfum EDP,1 Million Parfum EDP,3024000,10%,3360000,100ml
30,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Passion,Perfume Mist,134000,21%,169000,88ml
31,Nước Hoa Nữ Versace Bright Crystal EDT,Bright Crystal Eau de Toilette Spray,1190000,59%,2905000,50ml
32,Nước Hoa Vùng Kín Foellie Hương Hoa Nhài Bản Giới Hạn,Inner Perfume #Eau De Venus,164000,53%,350000,5ml
33,Nước Hoa Nữ De Memoria EDP #03 Granada,Eau De Parfum,354000,36%,550000,30ml
34,Nước Hoa Nữ De Memoria EDP #06 Grasse,Eau De Parfum,354000,36%,550000,30ml
35,Nước Hoa Nữ Verites After The Rain,After The Rain Inspired By My Burberry,191000,20%,239000,50ml
36,Nước Hoa Nam Versace Eros Flame EDP,Eros Flame Eau de Parfum Spray,2236000,19%,2761000,100ml
37,Xịt Thơm Toàn Thân Malissa Kiss Hương Lost In Paradise,Perfume Body Mist,134000,21%,169000,88ml
38,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Delight,Perfume Mist,134000,21%,169000,88ml
39,Xịt Thơm Toàn Thân Malissa Kiss Hương Fresh Escape,Perfume Mist,84000,50%,169000,88ml
40,Nước Hoa Nam Gota Urban Eau de Parfum,Urban Perfume For Men Eau de Parfum,208000,30%,296000,50ml
41,Xịt Thơm Toàn Thân Malissa Kiss Sweet Vanilla Cotton,Perfume Body Mist,134000,21%,169000,88ml
42,Nước Hoa Nữ De Memoria #01 Spello Hương Mê Hoặc,Eau De Parfum,353000,36%,550000,30ml
43,Nước Hoa Vùng Kín Foellie Hương Gỗ Tươi Mát,Inner Perfume #Eau De Foret,179000,17%,215000,5ml
44,Nước Hoa Nam Nữ Verites Siren,Siren Inspired By Good Girl Velvet Fatale,191000,20%,239000,50ml
45,Xịt Thơm Toàn Thân Bodymiss Hương Funky Fresh,,109000,30%,156000,105ml
46,Bộ 3 Chai Nước Hoa Nam Nerman 4000/chai,"Hương Thơm Mạnh Mẽ Lôi Cuốn, Lưu Hương Tới 8H",476000,5%,499000,10ml
47,Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Love Bloom,Fragrance Mist Hair And Body #Love Bloom,98000,1%,99000,50ml
48,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Charm,Perfume Mist,134000,21%,169000,88ml
49,Nước Hoa Vùng Kín Foellie Hương Hoa Anh Đào,Inner Perfume #Eau De Cherry Blossom,179000,49%,350000,5ml
50,Nước Hoa Nữ Verites Joie De Vivre,Joie De Vivre Inspired by Miss Dior,191000,20%,239000,50ml
51,Nước Hoa Nam Laura Anne Mystic For Him (Đen),Eau de Parfum,184000,38%,299000,50ml
52,Nước Hoa Vùng Kín Nữ Loli And The Wolf Midnight Forest,Hương Hoa Ngọt Ngào Quyến Rũ Lãng Mạn,248000,17%,300000,8ml
53,Xịt Thơm Toàn Thân Bodymiss Hương Funky Fresh,,54000,32%,79000,35ml
54,Nước Hoa Nữ Verites Secretly Sexy,Secretly Sexy Inspired By Victoria's Secret Very Sexy,191000,20%,239000,50ml
55,Nước Hoa Nam Verites Savage Trail,Savage Trail Inspired by Dior Sauvage,191000,20%,239000,50ml
56,Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Magic Dream,Fragrance Mist Hair And Body #Magic Dream,98000,1%,99000,50ml
57,Xịt Thơm Toàn Thân Bodymiss Hương Stop & Stare,,109000,30%,156000,105ml
58,Nước Hoa Vùng Kín Foellie Hương Hoa Ngọc Lan Tây,Inner Perfume #Eau De Bebe,179000,49%,350000,5ml
59,Xịt Thơm Toàn Thân Bodymiss Hương Blinded Love,,54000,32%,79000,35ml
60,Xịt Thơm Toàn Thân Bodymiss Hương Hide & Seek,,54000,32%,79000,35ml
61,Nước Hoa Nam Nữ De Memoria EDP #09 Lampang,Eau De Parfum,370000,33%,550000,30ml
62,Nước Hoa Vùng Kín Foellie Hương Dâu Tây Bản XO Giới Hạn,Inner Perfume #Eau De Miel,179000,49%,350000,5ml
63,Xịt Thơm Toàn Thân Bodymiss Hương Hide & Seek,,109000,30%,156000,105ml
64,Nước Hoa Nam Laura Anne Allure For Him (Đỏ),Eau de Parfum,149000,50%,299000,50ml
65,Nước Hoa Vùng Kín Foellie Hương Biển Thơm Mát,Inner Perfume #Eau De Vogue,179000,17%,215000,5ml
66,Xịt Thơm Toàn Thân Malissa Kiss Hương Happy Sundae,Perfume Mist,84000,50%,169000,88ml
67,"Nước Hoa Nữ Verites Her Summer Nữ Tính, Dịu Dàng",,231000,20%,289000,50ml
68,Xịt Thơm Toàn Thân Bodymiss Hương Care Free,,54000,32%,79000,35ml
69,Nước Hoa Nam Nữ De Memoria EDP #10 Jiufen,Eau De Parfum,354000,36%,550000,30ml
70,Xịt Thơm Toàn Thân Bodymiss Hương Money Honey,,109000,30%,156000,105ml
71,Xịt Thơm Toàn Thân Malissa Kiss Hương Call Me Maybe,Perfume Mist,134000,21%,169000,88ml
72,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Tender,Perfume Mist,134000,21%,169000,88ml
73,Xịt Thơm Toàn Thân Malissa Kiss Hương Cozy Beach,Perfume Mist,84000,50%,169000,88ml
75,Nước Hoa Nam Nữ Verites Santal Lab,Santal Lab Inspired By Le Labo Santal 33,239000,0%,239000,50ml
76,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Fierce,Perfume Mist,134000,21%,169000,88ml
77,Xịt Thơm Toàn Thân Bodymiss Hương Money Honey,,54000,32%,79000,35ml
