,name,brand,pricenew,sale,priceold
205,Nước Hoa Azzaro The Most Wanted EDP Intense,Azzaro,2.658.000,(-8%),2.890.000
206,Nước hoa Giorgio Armani Acqua Di Gio Parfum Vaporisateur Rechargeable Refillable Spray,Giorgio Armani,1.851.000,(-5%),1.949.000
207,Nước hoa Gucci Guilty Elixir De Parfum Pour Homme,Gucci,4.066.000,(-5%),4.280.000
208,Nước hoa Hugo Boss Bottled Elixir,Hugo Boss,3.413.000,(-8%),3.710.000
209,Nước hoa Calvin Klein Defy Parfum,Calvin Klein,3.808.000,(-8%),4.140.000
210,Nước hoa Hugo Boss Boss Bottled Parfum,Hugo Boss,4.075.000,(-8%),4.430.000
211,Nước hoa Montblanc Explorer Platinum EDP,Mont Blanc,2.802.000,(-5%),2.950.000
212,Nước hoa Coach Green EDT,Coach,2.208.000,(-8%),2.400.000
213,Nước Hoa Giorgio Armani Acqua Di Gio For Men EDT,Giorgio Armani,2.896.000,(-5%),3.049.000
214,Nước hoa Armani Code For Men EDT,Giorgio Armani,2.612.000,(-5%),2.750.000
215,Nước hoa Y EDP,Yves Saint Laurent,4.406.000,(-4%),4.590.000
216,Nước hoa Prada Luna Rossa EDT,Prada,2.894.000,(-5%),3.047.000
217,Nước Hoa Prada Luna Rossa Ocean EDT,Prada,2.894.000,(-5%),3.047.000
218,Nước hoa Giorgio Armani Acqua Di Gio EDP,Giorgio Armani,3.751.000,(-5%),3.949.000
219,Nước hoa Dolce&Gabbana Light Blue Summer Vibes Pour Homme EDT,Dolce & Gabbana,3.408.000,(-4%),3.550.000
220,Nước hoa Scandal Pour Homme Le Parfum EDP,Jean Paul Gaultier,3.534.000,(-5%),3.720.000
221,Nước hoa Versace Eros Parfum,Versace,3.116.000,(-8%),3.388.000
222,Nước hoa Calvin Klein Defy EDP,Calvin Klein,2.769.000,(-8%),3.010.000
223,Nước hoa Burberry Hero EDP,Burberry,4.626.000,(-5%),4.870.000
224,Nước hoa Burberry Hero EDP,Burberry,451.000,(-5%),475.000
225,Nước hoa Gucci Guilty Pour Homme Parfum,Gucci,4.750.000,(-5%),5.000.000
226,Nước hoa Paco Rabanne Fame EDP,Paco Rabanne,3.847.000,(-5%),4.050.000
227,Nước hoa Yves Saint Laurent Libre L'Absolu Platin EDP,Yves Saint Laurent,5.299.000,(-4%),5.520.000
228,Nước hoa Calvin Klein My Euphoria EDP,Calvin Klein,3.275.000,(-8%),3.560.000
229,Nước hoa Paco Rabanne Fame Intense EDP,Paco Rabanne,4.560.000,(-5%),4.800.000
230,Nước hoa Dolce & Gabbana The Only One EDP Intense,Dolce & Gabbana,5.040.000,(-4%),5.250.000
231,Nước hoa Dolce&Gabbana The One Gold EDP Intense,Dolce & Gabbana,4.656.000,(-4%),4.850.000
232,Nước hoa Dolce & Gabbana Q EDP Intense,Dolce & Gabbana,4.896.000,(-4%),5.100.000
233,Nước hoa L'Eau d'IsseySolar Violet EDTI,Issey Miyake,3.078.000,(-5%),3.240.000
234,Nước hoa L'Eau d'Issey pour Homme Solar Lavender EDTI,Issey Miyake,1.957.000,(-5%),2.060.000
235,Giftset YSL Black Opium EDP 4PCS,Yves Saint Laurent,3.715.000,(-4%),3.870.000
236,Giftset YSL Black Opium EDP 3PCS,Yves Saint Laurent,3.897.000,(-4%),4.060.000
237,Nước hoa Carolina Herrera Good Girl EDP,Carolina Herrera,1.909.000,(-5%),2.010.000
238,Giftset YSL Libre EDP 3PCS,Yves Saint Laurent,3.715.000,(-4%),3.870.000
239,Giftset YSL Libre EDP 3PCS,Yves Saint Laurent,4.848.000,(-4%),5.050.000
240,Issey Miyake Ladies A Drop D'issey Essentielle EDP,Issey Miyake,3.116.000,(-5%),3.280.000
241,Narciso Rodriguez Musc Nude For Her EDP,Narciso Rodriguez,3.657.000,(-5%),3.850.000
242,Nước hoa Chloé Signature Lumineuse Roses EDP,Chloe,4.949.000,(-8%),5.380.000
243,Nước hoa Burberry Her Petals Limited Edition,Burberry,4.797.000,(-5%),5.050.000
244,Giftset Lancôme Miracle EDP 3PCS,Lancôme,2.016.000,(-4%),2.100.000
245,Giftset Lancôme La Nuit Tresor 3PCS,Lancôme,2.688.000,(-4%),2.800.000
246,Nước hoa Valentino Donna Born In Roma Intense EDP,Valentino,4.493.000,(-5%),4.730.000
247,NƯỚC HOA LANCÔME LA VIE EST BELLE IRIS ABSOLU EDP,Lancôme,4.704.000,(-4%),4.900.000
248,Nước hoa LIBRE EDT,Yves Saint Laurent,4.550.000,(-4%),4.740.000
249,Nước hoa Black Opium EDP,Yves Saint Laurent,4.848.000,(-4%),5.050.000
250,Nước hoa Coach Love EDP,Coach,2.668.000,(-8%),2.900.000
251,Nước hoa JPG FEMME DIVINE 23 EDP,Jean Paul Gaultier,2.118.000,(-5%),2.230.000
252,Nước hoa Giorgio Armani My Way Parfum EDP,Giorgio Armani,3.469.000,(-5%),3.652.000
253,Nước hoa Giorgio Armani Sì Passione Eclat EDP,Giorgio Armani,3.895.000,(-5%),4.100.000
254,Nước hoa Giorgio Armani Sì Passione Intense EDP,Giorgio Armani,3.410.000,(-5%),3.590.000
255,Nước hoa Giorgio Armani Si EDP,Giorgio Armani,3.895.000,(-5%),4.100.000
256,Nước hoa Mon Paris Intensement EDP,Yves Saint Laurent,5.030.000,(-4%),5.240.000
257,NƯỚC HOA YSL LIBRE EDP - HOL 2023 OS,Yves Saint Laurent,3.715.000,(-4%),3.870.000
258,Nước hoa Valentino Valentina EDP,Valentino,3.270.000,(-5%),3.443.000
259,Nước hoa Valentino Donna Born In Roma Coral Fantasy EDP,Valentino,4.131.000,(-5%),4.349.000
260,Nước hoa Valentino Donna Born In Roma Yellow Dream EDP,Valentino,4.131.000,(-5%),4.349.000
261,Nước hoa Valentino Donna Born In Roma EDP,Valentino,4.131.000,(-5%),4.349.000
262,Nước hoa Valentino Donna EDP,Valentino,4.132.000,(-5%),4.350.000
263,Nước hoa nam Paco Rabanne One Million Cologne EDT 100ml,Jomashop.com,"2,250,000 VND",0%,"2,250,000 VND"
264,Boss Bottled Night by Hugo Boss 3.3 oz EDT,Amazon,"1,950,000 VND",0%,"1,950,000 VND"
265,John Varvatos Man 125ml,sephora,"1,750,000 VND",0%,"1,750,000 VND"
266,Nước hoa nam Light Blue Pour Homme by Dolce & Gabbana EDT 125ml,sephora,"2,300,000 VND",0%,"2,300,000 VND"
267,Nước hoa Nautica Voyage EDT for Men 100ml,Walmart,"850,000 VND",0%,"850,000 VND"
268,NƯỚC HOA NAM POUR HOMME BY DOLCE & GABBANA EDT 125ML,sephora,"1,800,000 VND",0%,"1,800,000 VND"
269,Nước hoa nam Montblanc Explorer EDP 60ml,sephora,"1,500,000 VND",0%,"1,500,000 VND"
270,Nước hoa unisex Ck One Gold by Calvin Klein EDT 100ml,Walmart,"990,000 VND",0%,"990,000 VND"
271,Nước hoa Burberry Brit  For Him EDT 100ML,Walmart,"1,099,000 VND",0%,"1,099,000 VND"
272,Nước hoa Versace Pour Homme EDT 100ml,Amazon,"1,750,000 VND",0%,"1,750,000 VND"
273,NƯỚC HOA LELABO Thé Noir 29 EDP UNISEX 50ml,Amazon,"4,800,000 VND",0%,"4,800,000 VND"
274,Nước hoa Le labo Bergamote 22 Eau De Parfum  50ml,Amazon,"4,800,000 VND",0%,"4,800,000 VND"
275,NƯỚC HOA LELABO ROSE 31 UNISEX 50ML,Amazon,"4,800,000 VND",0%,"4,800,000 VND"
276,Nước Hoa Lelabo Another 13 unisex 50ml,NORDSTROM,"4,800,000 VND",0%,"4,800,000 VND"
277,Nước hoa Nam Dior Sauvage EDP 60ml,sephora,"2,900,000 VND",0%,"2,900,000 VND"
278,Nước Hoa Sauvage Cologne By CHRISTIAN DIOR EDT 60ML,sephora,"2,300,000 VND",0%,"2,300,000 VND"
279,Nước hoa nam Eau De Lacoste L.12.12 Blanc 100ml,Walmart,"1,500,000 VND",0%,"1,500,000 VND"
280,Nước hoa Ck One by Calvin Klein 100ml,sephora,"799,000 VND",0%,"799,000 VND"
281,Nước hoa Black Phantom Memento Mori by Kilian EDP 50ml,sephora,"5,900,000 VND",0%,"5,900,000 VND"
282,Nước hoa nam Creed Aventus Cologne 100ml,Jomashop.com,"8,200,000 VND",0%,"8,200,000 VND"
283,Nước Hoa Nam Terre D'hermes by Hermes 3.4 oz EDT,sephora,"2,200,000 VND",0%,"2,200,000 VND"
284,Nước Hoa Nam Giorgio Armani Code Pour Homme EDT 75ml,Amazon,"2,200,000 VND",0%,"2,200,000 VND"
285,Nước hoa nam Gucci Guilty Cologne Pour Homme EDT 90ml,sephora,"1,950,000 VND",0%,"1,950,000 VND"
286,Nước hoa Acqua Di Gio Pour Homme 100ml,Amazon,"1,990,000 VND",0%,"1,990,000 VND"
287,NƯỚC HOA UNISEX TOM FORD EAU DE SOLEIL BLANC EDT 100ML,sephora,"5,100,000 VND",0%,"5,100,000 VND"
288,Nước Hoa Unisex Maison Francis Kurkdjian Oud EDP 70ml,Jomashop.com,"5,990,000 VND",0%,"5,990,000 VND"
289,Nước Hoa Lelabo Santal 33 unisex 100ml,NORDSTROM,"7,500,000 VND",0%,"7,500,000 VND"
290,Nước Hoa Lelabo Another 13 unisex 100ml,NORDSTROM,"7,500,000 VND",0%,"7,500,000 VND"
291,Nước Hoa Armaf Men's Club De Nuit Intense EDT 100ML,Jomashop.com,"1,050,000 VND",0%,"1,050,000 VND"
292,Nước Hoa Creed Aventus / Creed EDP Spray 1.7 oz (50 ml),Jomashop.com,"6,150,000 VND",0%,"6,150,000 VND"
293,Nước Hoa Lelabo Rose 31 unisex 100ml,,"7,800,000 VND",0%,"7,800,000 VND"
294,Nước hoa nam Bvlgari Aqva Marine EDT 100ML,Jomashop.com,"1,700,000 VND",0%,"1,700,000 VND"
295,Nước hoa nam Maison Margiela Replica Jazz Club EDT 100ml,sephora,"3,100,000 VND",0%,"3,100,000 VND"
296,Nước hoa nam Light Blue Pour Homme by Dolce & Gabbana EDT 125ml- UNBOXED,sephora,"1,400,000 VND",0%,"1,400,000 VND"
297,NƯỚC HOA TOMFORD TOBACCO VANILLE EDP 50ML,sephora,"4,500,000 VND",0%,"4,500,000 VND"
298,MAISON FRANCIS KURKDJIAN ROUGE 540 EDP 70ML,Amazon,"5,900,000 VND",0%,"5,900,000 VND"
299,NƯỚC HOA BYREDO MOVJAVE GHOST EDP 50ML,Amazon,"3,800,000 VND",0%,"3,800,000 VND"
300,NƯỚC HOA TOMFORD Ombré Leather Eau De Parfum 50ML,sephora,"2,950,000 VND",0%,"2,950,000 VND"
301,Set Nước hoa MAISON MARGIELA Replica Memory Box Eau De Toilette Gift,selfirdges,"1,500,000 VND",0%,"1,500,000 VND"
302,Nước Hoa BYREDO Bal D'afrique Eau De Parfum 50ML,Amazon,"3,800,000 VND",0%,"3,800,000 VND"
303,Nước hoa Jo Malone London Nectarine Blossom & Honey cologne 100ml,sephora,"2,500,000 VND",0%,"2,500,000 VND"
304,Nước hoa Jo Malone London Wood Sage & Sea Salt Cologne 100ml,sephora,"2,500,000 VND",0%,"2,500,000 VND"
305,Nước hoa nam Nautica Blue EDT 100ML,Walmart,"550,000 VND",0%,"550,000 VND"
306,Nước hoa nam Bleu Noir by Narciso Rodriguez EDT 100ml,Jomashop.com,"1,525,000 VND",0%,"1,525,000 VND"
307,Nước hoa nam La Nuit De L'homme by YVES SAINT LAURENT EDT 60ml,sephora,"1,890,000 VND",0%,"1,890,000 VND"
308,Nước hoa nam Y Live by Yves Saint Laurent EDT 60ML,Amazon,"1,750,000 VND",0%,"1,750,000 VND"
309,Nước hoa nam Bvlgari Man Extreme EDT 60ML,sephora,"990,000 VND",0%,"990,000 VND"
310,Nước hoa Tommy Hilfiger Cologne 100ml,Amazon,"950,000 VND",0%,"950,000 VND"
311,Nước hoa Mr Burberry Indigo Cologne 100MlL,sephora,"1,250,000 VND",0%,"1,250,000 VND"
312,Burberry The Beat Eau de Toilette 100ml,sephora,"1,250,000 VND",0%,"1,250,000 VND"
313,Versace Pour Homme Dylan Blue 100ml,,"1,750,000 VND",0%,"1,750,000 VND"
314,Montblanc Legend Spirit Cologne 100ml,Amazon,"1,150,000 VND",0%,"1,150,000 VND"
315,Nước hoa Lacoste L.12.12 Noir Intense 100lml,Walmart,"990,000 VND",0%,"990,000 VND"
316,Mr. Burberry Eau de Toilette 100ml,sephora,"1,128,000 VND",0%,"1,128,000 VND"
317,NƯỚC HOA NAM BURBERRY TOUCH BY BURBERRY EDT 100ML,sephora,"1,150,000 VND",0%,"1,150,000 VND"
318,Nước hoa Cool Water by Davidoff 125 ml,Amazon,"799,000 VND",0%,"799,000 VND"
319,Nước hoa Versace Eau Fraiche 100ml,sephora,"1,450,000 VND",0%,"1,450,000 VND"
320,Nước hoa Hugo Boss No.6 EDT 100ml,sephora,"1,450,000 VND",0%,"1,450,000 VND"
321,Calvin Klein Eternity for Men 4-Piece Gift Set,Nordstrom Rack,,0%,
322,NƯỚC HOA NAM AQUA POUR HOMME BY BVLGARI EDT 100ML,Walmart,"1,550,000 VND",0%,"1,550,000 VND"
323,Burberry Mr.burberry Indigo / Burberry EDT Spray 3.3 oz (100 ml) (m),Jomashop.com,,0%,
324,Eternity Cologne By  Calvin Klein 100ml,Amazon,"991,000 VND",0%,"991,000 VND"
325,Nước hoa F Black Cologne By SALVATORE 100ML,Amazon,"950,000 VND",0%,"950,000 VND"
326,Nước hoa Hugo Boss 125ml,Amazon,"1,101,000 VND",0%,"1,101,000 VND"
327,Nước hoa Montblanc Legend 100ml,sephora,"1,150,000 VND",0%,"1,150,000 VND"
328,Nước hoa Moschino Toy 2 100ml,sephora,"1,635,000 VND",0%,"1,635,000 VND"
329,DOLCE & GABBANA The One EDT 100ml,Amazon,"1,500,000 VND",0%,"1,500,000 VND"
330,Nước hoa unisex Maison Margiela Replica By the Fireplace EDT 100ml,sephora,"3,100,000 VND",0%,"3,100,000 VND"
331,Nước hoa nữ Calvin Klein Sheer 100ml,Jomashop.com,"1,150,000 VND",0%,"1,150,000 VND"
332,Nước hoa nữ Chloe Love Story by Chloe EDP 75ml,sephora,"2,100,000 VND",0%,"2,100,000 VND"
333,Nước hoa nữ Narciso Rodriguez Rouge EDT 90ml,Jomashop.com,"2,100,000 VND",0%,"2,100,000 VND"
334,Nước hoa nữ Club De Nuit by Armaf EDP 105ML,Walmart,"950,000 VND",0%,"950,000 VND"
335,Nước hoa nữ Daisy Eau So Fresh by Marc Jacobs EDT 75ml,sephora,"1,850,000 VND",0%,"1,850,000 VND"
336,Nước hoa nữ Cool Water By DAVIDOFF EDT 100ML,Jomashop.com,"790,000 VND",0%,"790,000 VND"
337,Burberry London Eau De Parfum 100ml,Amazon,"1,300,000 VND",0%,"1,300,000 VND"
338,Nước hoa nữ Eau Des Merveilles Bleue by Hermes EDT 50ml,Jomashop.com,"2,100,000 VND",0%,"2,100,000 VND"
339,Princess Perfume By  VERA WANG 100ml,Amazon,"990,000 VND",0%,"990,000 VND"
340,NƯỚC HOA NỮ L'IMPERATRICE 3 BY DOLCE & GABBANA EDT 100ML,sephora,"1,250,000 VND",0%,"1,250,000 VND"
341,Nước hoa Burberry Classic EDP 100ml,Walmart,"1,150,000 VND",0%,"1,150,000 VND"
342,NƯỚC HOA NỮ THE ONE BY DOLCE & GABBANA EDP 50ML,sephora,,0%,
343,Nước hoa Burberry Brit Sheer 100ml,Jomashop.com,"1,200,000 VND",0%,"1,200,000 VND"
344,Versace Crystal Noir Perfume 90ml,,"1,500,000 VND",0%,"1,500,000 VND"
345,Nước hoa nữ Vera Wang Flower Princess EDT 100ml,Amazon,"750,000 VND",0%,"750,000 VND"
347,Nước hoa nữ VERSACE Bright Crystal EDT 90 ML,sephora,"1,650,000 VND",0%,"1,650,000 VND"
348,Nước hoa nữ Pure Musc by Narciso Rodriguez EDP 100ml,Costco,"2,100,000 VND",0%,"2,100,000 VND"
349,Narciso Rodriguez by Narciso Rodriguez EDP 50ml,Jomashop.com,"1,990,000 VND",0%,"1,990,000 VND"
350,Nước hoa nữ Narciso Poudree EDP 90ml,Walmart,"2,500,000 VND",0%,"2,500,000 VND"
351,Nước hoa nữ  DOLCE&GABBANA Light Blue EDT 100ML,Walmart,"1,990,000 VND",0%,"1,990,000 VND"
352,NƯỚC HOA NỮ NARCISO RODRIGUEZ EDT 100ML,Walmart,"2,100,000 VND",0%,"2,100,000 VND"
354,Nước hoa Le labo Lys 41 Eau De Parfum  50ml,Amazon,"4,800,000 VND",0%,"4,800,000 VND"
358,Nước Hoa Narciso Rodriguez Fleur Musc For Her Eau De Toilette Florale 100ML,Amazon,"1,800,000 VND",0%,"1,800,000 VND"
359,NƯỚC HOA NỮ ETERNITY MOMENT BY CALVIN KLEIN EDP 100ML,Walmart,"950,000 VND",0%,"950,000 VND"
362,Nước hoa nữ Salvatore Ferragamo Incanto Shine EDT 100ml,Jomashop.com,"699,000 VND",0%,"699,000 VND"
363,Nước Hoa Narciso Rodriguez Musc Noir EDP for women 100ML,Amazon,"2,600,000 VND",0%,"2,600,000 VND"
364,Nước hoa nữ Parfums De Marly Ladies Delina EDP 75 ml,Jomashop.com,"5,300,000 VND",0%,"5,300,000 VND"
365,Nước Hoa Nữ Blanche Byredo by Byredo EDP 100ml,Amazon,"4,850,000 VND",0%,"4,850,000 VND"
366,Nước Hoa Nữ Acqua di Gio EDT 100ML,Amazon,"1,990,000 VND",0%,"1,990,000 VND"
368,Nước Hoa Nữ Boss The Scent EDP 100ML,Amazon,"1,600,000 VND",0%,"1,600,000 VND"
369,Nước Hoa Nữ Jean Paul Gaultie Scandal EDP 80ML,Amazon,"2,500,000 VND",0%,"2,500,000 VND"
370,Nước Hoa Maison Martin Margiela Under The Lemon Trees Replica EDT 100ML,sephora,"3,100,000 VND",0%,"3,100,000 VND"
374,NƯỚC HOA Gold Coast / Bond No.9 EDP 100ML,Amazon,"4,200,000 VND",0%,"4,200,000 VND"
375,Nước hoa Hermes Un Jardin Sur Le Nil EDT 100ml,sephora,"2,100,000 VND",0%,"2,100,000 VND"
377,Nước hoa nữ Nomade by Chloe EDP 50ML,Jomashop.com,"1,900,000 VND",0%,"1,900,000 VND"
378,Nước hoa nữ Maison Margiela Replica Beach Walk EDT 100ml,sephora,"3,100,000 VND",0%,"3,100,000 VND"
379,Nước hoa nữ Maison Margiela Replica Lazy Sunday Morning EDT 100ml,sephora,"3,100,000 VND",0%,"3,100,000 VND"
380,Nước hoa nữ Prada Candy EDP 80ml,sephora,"1,950,000 VND",0%,"1,950,000 VND"
381,Nước hoa nữ Prada Candy EDP 50ml,sephora,"1,500,000 VND",0%,"1,500,000 VND"
382,Nước hoa nữ Lancôme Idôle EDP 75ML,sephora,"2,300,000 VND",0%,"2,300,000 VND"
383,Nước hoa nữ Christian Dior J'Adore Infinissime EDP 100ML (UNBOXING),sephora,"2,600,000 VND",0%,"2,600,000 VND"
384,Nước hoa nữ Flowerbomb by Viktor & Rolf EDP 50ML,sephora,"2,200,000 VND",0%,"2,200,000 VND"
385,Nước hoa nữ Yves Saint Laurent Black Opium EDP 50ML,sephora,"2,200,000 VND",0%,"2,200,000 VND"
386,Kem Ủ Phục Hồi Tóc Olaplex No.3 Hair Perfector Từ Mỹ,Amazon,"590,000 VND",0%,"590,000 VND"
387,"TINH DẦU DƯỠNG TÓC MOROCCAN OIL, 100ML",Amazon,"790,000 VND",0%,"790,000 VND"
389,NƯỚC HOA CHANEL GABRIELLE PARIS EDP 100ml,sephora,"2,999,000 VND",0%,"2,999,000 VND"
390,NƯỚC HOA CHANEL No5 L’EAU EDT 100ml,sephora,"3,200,000 VND",0%,"3,200,000 VND"
391,NƯỚC HOA CHANEL COCO EDP 50ML,Amazon,"3,200,000 VND",0%,"3,200,000 VND"
397,Nước hoa Yves Saint Laurent Libre EDP 50ml,sephora,"2,700,000 VND",0%,"2,700,000 VND"
400,Nước hoa nữ Euphoria by CALVIN KLEIN EDP 100ML,sephora,"1,150,000 VND",0%,"1,150,000 VND"
401,Nước hoa nữ Ck One Shock by CALVIN KLEIN EDT 100ml,Amazon,"690,000 VND",0%,"690,000 VND"
402,Nước hoa nữ Gucci Guilty EDT 50ml,sephora,"1,750,000 VND",0%,"1,750,000 VND"
403,Nước hoa nữ Mon Paris by YVES SAINT LAURENT EDT 50ML,sephora,"1,800,000 VND",0%,"1,800,000 VND"
404,Nước hoa nữ La Vie Est Belle By LANCOME EDP 50ML,sephora,"1,850,000 VND",0%,"1,850,000 VND"
405,Nước hoa nữ Miss Dior Cherie by CHRISTIAN DIOR EDT 50ML,sephora,"2,100,000 VND",0%,"2,100,000 VND"
406,Nước hoa nữ Lacoste Pour Femme EDP 90ML,Walmart,"899,000 VND",0%,"899,000 VND"
407,Nước hoa nữ Her by Burberry EDP 100ml,Jomashop.com,"1,700,000 VND",0%,"1,700,000 VND"
408,Nước hoa nữ Miss Dior Rose N'Roses BY CHRISTIAN DIOR EDT 100ML,Costco,"2,800,000 VND",0%,"2,800,000 VND"
409,Nước hoa nữ Divine Decadence by Marc Jacobs EDP 100ml,Walmart,"2,100,000 VND",0%,"2,100,000 VND"
410,Nước hoa nữ Nomade by Chloe EDT 75ml,Jomashop.com,"1,800,000 VND",0%,"1,800,000 VND"
411,Nước hoa nữ Eau Des Merveilles Bleue by Hermes EDT 100 ml,Jomashop.com,"2,400,000 VND",0%,"2,400,000 VND"
412,Nước hoa Unisex Gucci Memoire D'une Odeur EDP 100ml,Amazon,"2,100,000 VND",0%,"2,100,000 VND"
413,Nước hoa nữ Run Wild By DAVIDOFF EDP 100ml,Walmart,"750,000 VND",0%,"750,000 VND"
414,Nước hoa nữ Miss Dior Cherie by CHRISTIAN DIOR EDT 100ML (UNBOXING),sephora,"2,350,000 VND",0%,"2,350,000 VND"
415,Viva La Juicy Perfume 100ml,sephora,"1,169,000 VND",0%,"1,169,000 VND"
416,Nước hoa Daisy Dream by Marc Jacobs,sephora,"1,610,000 VND",0%,"1,610,000 VND"
417,Shalimar by Guerlain EDT 90ML,sephora,"1,200,000 VND",0%,"1,200,000 VND"
418,Nước hoa Twilly d'Hermes  EDP 85ml,sephora,"2,700,000 VND",0%,"2,700,000 VND"
419,Calvin Klein Sheer Beauty,Walmart,"850,000 VND",0%,"850,000 VND"
420,Jimmy Choo Perfume EDP 100ml,Amazon,"1,550,000 VND",0%,"1,550,000 VND"
421,NƯỚC HOA NỮ EAU DE TOILETTE  BVLGARI OMNIA AMETHYSTE 65ML,Walmart,"1,650,000 VND",0%,"1,650,000 VND"
422,NƯỚC HOA NỮ THE ONE BY DOLCE & GABBANA EDP 75ML,sephora,,0%,
423,Marc Jacobs Decadence EDP 100ML,sephora,"1,750,000 VND",0%,"1,750,000 VND"
424,Nước hoa My Burberry EDT Perfume (90ml) For Women,sephora,"1,550,000 VND",0%,"1,550,000 VND"
425,Nước hoa Daisy by Marc Jacobs EDT 50ml,sephora,"1,490,000 VND",0%,"1,490,000 VND"
426,GUERLAIN Ladies La Petite Robe Noire Ma Robe Plissee EDT 100 ml,Jomashop.com,"1,241,000 VND",0%,"1,241,000 VND"
427,Nước hoa Jimmy Choo Blossom EDP 60ml,sephora,"1,250,000 VND",0%,"1,250,000 VND"
428,NƯỚC HOA NỮ CHLOE BY CHLOE EDT 75ML,sephora,"1,900,000 VND",0%,"1,900,000 VND"
429,Nước hoa Hermes Un Jardin Sur Le Nil EDT 50ml,sephora,"1,950,000 VND",0%,"1,950,000 VND"
430,NƯỚC HOA NỮ PINK SUGAR BY AQUOLINA EDT 100ML,sephora,"750,000 VND",0%,"750,000 VND"
431,NƯỚC HOA NỮ COACH BY COACH EDP 90ML,Walmart,"1,350,000 VND",0%,"1,350,000 VND"
432,Marc Jacobs Decadence EDP 50ML,sephora,"1,350,000 VND",0%,"1,350,000 VND"
433,Nước hoa nữ Versace Yellow Diamond EDT 90ml,Jomashop.com,"1,550,000 VND",0%,"1,550,000 VND"
434,Narciso Rodriguez by Narciso Rodriguez EDP 100ml,Jomashop.com,"2,450,000 VND",0%,"2,450,000 VND"
435,Nước hoa Burberry Brit Perfume 100ml,Walmart,"1,311,000 VND",0%,"1,311,000 VND"
437,Nước hoa nữ Gucci Bamboo EDT 75ml,Jomashop.com,"2,300,000 VND",0%,"2,300,000 VND"
438,Nước hoa Tommy Hilfiger Tommy Girl 100ml,Amazon,"990,000 VND",0%,"990,000 VND"
