sothutu,name,brand,pricenew,sale,priceold
54,Nước Hoa Nữ Verites Secretly Sexy 50ml,Secretly Sexy Inspired By Victoria's Secret Very Sexy,191000,20%,239000
55,Nước Hoa Nam Verites Savage Trail 50ml,Savage Trail Inspired by Dior Sauvage,191000,20%,239000
56,Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Magic Dream 50ml,Fragrance Mist Hair And Body #Magic Dream,98000,1%,99000
57,Xịt Thơm Toàn Thân Bodymiss Hương Stop & Stare 105ml,,109000,30%,156000
58,Nước Hoa Vùng Kín Foellie Hương Hoa Ngọc Lan Tây 5ml,Inner Perfume #Eau De Bebe,179000,49%,350000
59,Xịt Thơm Toàn Thân Bodymiss Hương Blinded Love 35ml,,54000,32%,79000
60,Xịt Thơm Toàn Thân Bodymiss Hương Hide & Seek 35ml,,54000,32%,79000
61,Nước Hoa Nam Nữ De Memoria EDP #09 Lampang 30ml,Eau De Parfum,370000,33%,550000
62,Nước Hoa Vùng Kín Foellie Hương Dâu Tây Bản XO Giới Hạn 5ml,Inner Perfume #Eau De Miel,179000,49%,350000
63,Xịt Thơm Toàn Thân Bodymiss Hương Hide & Seek 105ml,,109000,30%,156000
64,Nước Hoa Nam Laura Anne Allure For Him 50ml (Đỏ),Eau de Parfum,149000,50%,299000
65,Nước Hoa Vùng Kín Foellie Hương Biển Thơm Mát 5ml,Inner Perfume #Eau De Vogue,179000,17%,215000
66,Xịt Thơm Toàn Thân Malissa Kiss Hương Happy Sundae 88ml,Perfume Mist,84000,50%,169000
67,"Nước Hoa Nữ Verites Her Summer Nữ Tính, Dịu Dàng 50ml",,231000,20%,289000
68,Xịt Thơm Toàn Thân Bodymiss Hương Care Free 35ml,,54000,32%,79000
69,Nước Hoa Nam Nữ De Memoria EDP #10 Jiufen 30ml,Eau De Parfum,354000,36%,550000
70,Xịt Thơm Toàn Thân Bodymiss Hương Money Honey 105ml,,109000,30%,156000
71,Xịt Thơm Toàn Thân Malissa Kiss Hương Call Me Maybe 88ml,Perfume Mist,134000,21%,169000
72,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Tender 88ml,Perfume Mist,134000,21%,169000
73,Xịt Thơm Toàn Thân Malissa Kiss Hương Cozy Beach 88ml,Perfume Mist,84000,50%,169000
