name,brand,pricenew,sale,priceold
Burberry Mr.burberry Indigo / Burberry EDT Spray 3.3 oz (100 ml) (m),Jomashop.com,,0%,
Eternity Cologne By  Calvin Klein 100ml,Amazon,"991,000",0%,"991,000"
Nước hoa F Black Cologne By SALVATORE 100ML,Amazon,"950,000",0%,"950,000"
Nước hoa Hugo Boss 125ml,Amazon,"1,101,000",0%,"1,101,000"
Nước hoa Montblanc Legend 100ml,sephora,"1,150,000",0%,"1,150,000"
Nước hoa Moschino Toy 2 100ml,sephora,"1,635,000",0%,"1,635,000"
DOLCE & GABBANA The One EDT 100ml,Amazon,"1,500,000",0%,"1,500,000"
Nước hoa unisex Maison Margiela Replica By the Fireplace EDT 100ml,sephora,"3,100,000",0%,"3,100,000"
Nước hoa nữ Calvin Klein Sheer 100ml,Jomashop.com,"1,150,000",0%,"1,150,000"
Nước hoa nữ Chloe Love Story by Chloe EDP 75ml,sephora,"2,100,000",0%,"2,100,000"
Nước hoa nữ Narciso Rodriguez Rouge EDT 90ml,Jomashop.com,"2,100,000",0%,"2,100,000"
Nước hoa nữ Club De Nuit by Armaf EDP 105ML,Walmart,"950,000",0%,"950,000"
Nước hoa nữ Daisy Eau So Fresh by Marc Jacobs EDT 75ml,sephora,"1,850,000",0%,"1,850,000"
Nước hoa nữ Cool Water By DAVIDOFF EDT 100ML,Jomashop.com,"790,000",0%,"790,000"
Burberry London Eau De Parfum 100ml,Amazon,"1,300,000",0%,"1,300,000"
Nước hoa nữ Eau Des Merveilles Bleue by Hermes EDT 50ml,Jomashop.com,"2,100,000",0%,"2,100,000"
Princess Perfume By  VERA WANG 100ml,Amazon,"990,000",0%,"990,000"
NƯỚC HOA NỮ L'IMPERATRICE 3 BY DOLCE & GABBANA EDT 100ML,sephora,"1,250,000",0%,"1,250,000"
Nước hoa Burberry Classic EDP 100ml,Walmart,"1,150,000",0%,"1,150,000"
NƯỚC HOA NỮ THE ONE BY DOLCE & GABBANA EDP 50ML,sephora,,0%,
Nước hoa Burberry Brit Sheer 100ml,Jomashop.com,"1,200,000",0%,"1,200,000"
Versace Crystal Noir Perfume 90ml,,"1,500,000",0%,"1,500,000"
Nước hoa nữ Vera Wang Flower Princess EDT 100ml,Amazon,"750,000",0%,"750,000"
Nước hoa unisex Ck One Gold by Calvin Klein EDT 100ml,Walmart,"990,000",0%,"990,000"
Nước hoa nữ VERSACE Bright Crystal EDT 90 ML,sephora,"1,650,000",0%,"1,650,000"
Nước hoa nữ Pure Musc by Narciso Rodriguez EDP 100ml,Costco,"2,100,000",0%,"2,100,000"
Narciso Rodriguez by Narciso Rodriguez EDP 50ml,Jomashop.com,"1,990,000",0%,"1,990,000"
Nước hoa nữ Narciso Poudree EDP 90ml,Walmart,"2,500,000",0%,"2,500,000"
Nước hoa nữ  DOLCE&GABBANA Light Blue EDT 100ML,Walmart,"1,990,000",0%,"1,990,000"
NƯỚC HOA NỮ NARCISO RODRIGUEZ EDT 100ML,Walmart,"2,100,000",0%,"2,100,000"
NƯỚC HOA LELABO Thé Noir 29 EDP UNISEX 50ml,Amazon,"4,800,000",0%,"4,800,000"
Nước hoa Le labo Lys 41 Eau De Parfum  50ml,Amazon,"4,800,000",0%,"4,800,000"
Nước hoa Le labo Bergamote 22 Eau De Parfum  50ml,Amazon,"4,800,000",0%,"4,800,000"
NƯỚC HOA LELABO ROSE 31 UNISEX 50ML,Amazon,"4,800,000",0%,"4,800,000"
Nước Hoa Lelabo Another 13 unisex 50ml,NORDSTROM,"4,800,000",0%,"4,800,000"
Nước Hoa Narciso Rodriguez Fleur Musc For Her Eau De Toilette Florale 100ML,Amazon,"1,800,000",0%,"1,800,000"
NƯỚC HOA NỮ ETERNITY MOMENT BY CALVIN KLEIN EDP 100ML,Walmart,"950,000",0%,"950,000"
Nước hoa Ck One by Calvin Klein 100ml,sephora,"799,000",0%,"799,000"
Nước hoa Black Phantom Memento Mori by Kilian EDP 50ml,sephora,"5,900,000",0%,"5,900,000"
Nước hoa nữ Salvatore Ferragamo Incanto Shine EDT 100ml,Jomashop.com,"699,000",0%,"699,000"
Nước Hoa Narciso Rodriguez Musc Noir EDP for women 100ML,Amazon,"2,600,000",0%,"2,600,000"
Nước hoa nữ Parfums De Marly Ladies Delina EDP 75 ml,Jomashop.com,"5,300,000",0%,"5,300,000"
Nước Hoa Nữ Blanche Byredo by Byredo EDP 100ml,Amazon,"4,850,000",0%,"4,850,000"
Nước Hoa Nữ Acqua di Gio EDT 100ML,Amazon,"1,990,000",0%,"1,990,000"
NƯỚC HOA UNISEX TOM FORD EAU DE SOLEIL BLANC EDT 100ML,sephora,"5,100,000",0%,"5,100,000"
Nước Hoa Nữ Boss The Scent EDP 100ML,Amazon,"1,600,000",0%,"1,600,000"
Nước Hoa Nữ Jean Paul Gaultie Scandal EDP 80ML,Amazon,"2,500,000",0%,"2,500,000"
Nước Hoa Maison Martin Margiela Under The Lemon Trees Replica EDT 100ML,sephora,"3,100,000",0%,"3,100,000"
Nước Hoa Unisex Maison Francis Kurkdjian Oud EDP 70ml,Jomashop.com,"5,990,000",0%,"5,990,000"
Nước Hoa Lelabo Santal 33 unisex 100ml,NORDSTROM,"7,500,000",0%,"7,500,000"
Nước Hoa Lelabo Another 13 unisex 100ml,NORDSTROM,"7,500,000",0%,"7,500,000"
NƯỚC HOA Gold Coast / Bond No.9 EDP 100ML,Amazon,"4,200,000",0%,"4,200,000"
Nước hoa Hermes Un Jardin Sur Le Nil EDT 100ml,sephora,"2,100,000",0%,"2,100,000"
Nước Hoa Lelabo Rose 31 unisex 100ml,,"7,800,000",0%,"7,800,000"
Nước hoa nữ Nomade by Chloe EDP 50ML,Jomashop.com,"1,900,000",0%,"1,900,000"
Nước hoa nữ Maison Margiela Replica Beach Walk EDT 100ml,sephora,"3,100,000",0%,"3,100,000"
Nước hoa nữ Maison Margiela Replica Lazy Sunday Morning EDT 100ml,sephora,"3,100,000",0%,"3,100,000"
Nước hoa nữ Prada Candy EDP 80ml,sephora,"1,950,000",0%,"1,950,000"
Nước hoa nữ Prada Candy EDP 50ml,sephora,"1,500,000",0%,"1,500,000"
Nước hoa nữ Lancôme Idôle EDP 75ML,sephora,"2,300,000",0%,"2,300,000"
Nước hoa nữ Christian Dior J'Adore Infinissime EDP 100ML (UNBOXING),sephora,"2,600,000",0%,"2,600,000"
Nước hoa nữ Flowerbomb by Viktor & Rolf EDP 50ML,sephora,"2,200,000",0%,"2,200,000"
Nước hoa nữ Yves Saint Laurent Black Opium EDP 50ML,sephora,"2,200,000",0%,"2,200,000"
